year,half_year,Publisher,count,alpha,ci_lower,ci_upper
2021,H1,KOREAN SOC OTORHINOLARYNGOL,19,0.15183461875601845,0.03363738005064843,0.4793451863386852
2021,H1,GEORG THIEME VERLAG KG,1158,0.01873547376567041,0.007503493708991142,0.04600133063352862
2021,H1,KOREAN STROKE SOC,23,0.0,0.0,0.35808366476071385
2021,H1,LABORATORY KNOWLEDGE MANAGEMENT & E-LEARNING UNIV,14,0.0,0.0,0.45551104334004977
2021,H1,KOREAN SPINAL NEUROSURGERY SOC,49,0.0,0.0,0.17032871420803936
2021,H1,LAWBOOK CO LTD,34,0.0,0.0,0.45931948859750804
2021,H1,KERMAN UNIV MEDICAL SCIENCES,68,0.03573260543366554,0.005413963259109008,0.20144862936800118
2021,H1,KOREAN SOC GYNECOLOGY ONCOLOGY & COLPOSCOPY,53,0.07971651765268002,0.019060904250962667,0.2785754516461532
2021,H1,KOREAN SOCIETY ANIMAL SCIENCE & TECHNOLOGY,41,0.10942741921540228,0.0327749812092258,0.30822291144235975
2021,H1,KOREAN SOC SEXUAL MEDICINE & ANDROLOGY,33,0.11088787530389674,0.020238021943552075,0.4295564541893357
2021,H1,LINGUISTIC SOC AMER,14,0.0,0.0,0.636938689177512
2021,H1,KOREAN FIBER SOC,281,0.0019958107315189697,6.627077114379582e-11,0.9999834293002147
2021,H1,KOREAN INST METALS MATERIALS,73,0.054025986890210424,0.013114373539198476,0.19707854332408584
2021,H1,KOREAN SOC PRECISION ENG,61,0.09837434514125229,0.03379880383988215,0.25390513258535724
2021,H1,Korean Pediatric Soc,49,0.08262216588210453,0.012953428468733074,0.3819862427951915
2021,H1,JOURNAL OF CENTRAL SOUTH UNIV,142,0.017393142981246557,0.0024135508718052816,0.11465737887100544
2021,H1,LIFE SCIENCE ALLIANCE LLC,87,0.06659776923024936,0.021804665135831333,0.18591959431556238
2021,H1,KOREAN SOCIETY OF RADIOLOGY,131,0.06212469157009247,0.02134641328827162,0.16747168127966366
2021,H1,KOREAN NUCLEAR SOC,214,0.025031547555837315,0.008144307108183124,0.07431109823052437
2021,H1,KOREAN ACAD MEDICAL SCIENCES,309,0.05032532173094964,0.022360556666271347,0.10935174746112218
2021,H1,JOURNAL MATER SCI TECHNOL,382,0.01202262249214213,0.0031132586271135428,0.045270509048846476
2021,H1,JOHN WILEY & SONS LTD,806,0.07873689146285365,0.055263189779367484,0.1110097342446815
2021,H1,KARGER,553,0.0455236645205741,0.025729642811269285,0.07930584816688668
2021,H1,IVYSPRING INT PUBL,1027,0.14368976580634463,0.11193937655016549,0.18259415588975675
2021,H1,IEEE COMPUTER SOC,1628,0.033326383625031424,0.02291355844234431,0.04823759434583558
2021,H1,EMERALD GROUP PUBLISHING LTD,2728,0.06049347917925248,0.047674737978623295,0.07648210518856735
