year,half_year,country_list,count,mean,ci_lower,ci_upper
2023,H2,PF,28,0.8571428571428571,0.685101978364747,0.9430099468025059
2023,H2,PG,29,0.6206896551724138,0.4400254420598852,0.7731197789919015
2023,H2,PH,655,0.5923664122137404,0.554301833958069,0.6293538822693012
2023,H2,PK,3838,0.6717040125065138,0.6566822331561606,0.6863824180344635
2023,H2,PL,8821,0.570570230132638,0.5602119637615125,0.5808670579761056
2023,H2,PR,346,0.6127167630057804,0.5604186571366688,0.6625394801376722
2023,H2,PS,179,0.6703910614525139,0.5985815616619724,0.7350408038203574
2023,H2,PT,5390,0.62708719851577,0.6140911146799256,0.6399022609984794
2023,H2,PW,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
2023,H2,PY,55,0.4,0.2811849723246312,0.5318720078987862
2023,H2,QA,971,0.6611740473738414,0.6308204495064159,0.690257400812598
2023,H2,RE,71,0.5633802816901409,0.4477154306941805,0.6725387725484672
2023,H2,RO,2660,0.6154135338345864,0.5967717755748367,0.6337224221811448
2023,H2,RS,1123,0.6188780053428317,0.5901134407286157,0.6468320478403184
2023,H2,RU,5093,0.5052032201060279,0.49147329723311395,0.5189252997074045
2023,H2,RW,117,0.7264957264957265,0.6394936247018688,0.7990975717073203
2023,H2,SA,7444,0.6671144545943042,0.6563255291037565,0.6777309909975663
2023,H2,SB,1,1.0,0.20654931437723745,1.0
2023,H2,SC,19,0.7368421052631579,0.5120844910218489,0.8819358765321748
2023,H2,SD,171,0.6608187134502924,0.587021360775503,0.7275493387083327
2023,H2,SE,10416,0.5936059907834101,0.5841407964865826,0.6030021660725329
2023,H2,SG,4657,0.6353875885763367,0.6214573664425995,0.6490946381988678
2023,H2,SI,1251,0.601119104716227,0.5737148761993672,0.6279042193617329
2023,H2,SJ,5,0.8,0.37553462976252533,0.9637758913675698
2023,H2,SK,975,0.5579487179487179,0.5266086498035435,0.5888339471376834
2023,H2,SL,49,0.6326530612244898,0.49267067560792427,0.7533482703131686
2023,H2,SM,6,0.6666666666666666,0.299993315138392,0.9032285888942195
2023,H2,SN,122,0.639344262295082,0.5510851581103072,0.7190960708632467
2023,H2,SO,16,0.625,0.38641040545502714,0.8151876744113636
2023,H2,SR,10,0.1,0.017876213095072896,0.4041500267952385
2023,H2,SS,27,0.48148148148148145,0.3074322697621846,0.6601438424504771
2023,H2,ST,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
2023,H2,SV,28,0.4642857142857143,0.29531569982795375,0.641873107655321
2023,H2,SX,4,1.0,0.5101091635454027,1.0
2023,H2,SY,88,0.6477272727272727,0.5436598679108756,0.7394366805744971
2023,H2,SZ,21,0.6666666666666666,0.4537345197425524,0.8280524739491653
2023,H2,TD,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
2023,H2,TG,31,0.6451612903225806,0.46947954064368874,0.788833409061346
2023,H2,TH,2902,0.5630599586492074,0.5449420569078499,0.5810111326197499
2023,H2,TJ,17,0.5294117647058824,0.30963235060004424,0.7383489355759056
2023,H2,TL,5,0.8,0.37553462976252533,0.9637758913675698
2023,H2,TN,729,0.6241426611796982,0.5884190526714536,0.6585647905888191
2023,H2,TO,8,0.625,0.30574239460262737,0.8631557141764026
2023,H2,TR,4412,0.6053943789664551,0.5908864880904237,0.6197188990532461
2023,H2,TT,60,0.55,0.4249193588533434,0.6690634559324476
2023,H2,TV,1,0.0,0.0,0.7934506856227626
2023,H2,TW,6265,0.5963288108539505,0.5841242552798728,0.6084153085181027
2023,H2,TZ,445,0.6247191011235955,0.57884471676857,0.6684586412849536
2023,H2,UA,923,0.4582881906825569,0.42638322969563514,0.490538915653825
2023,H2,UG,514,0.5836575875486382,0.5405749957243517,0.6254989995788673
2023,H2,US,124674,0.5836100550235013,0.5808711698640899,0.5863437879508943
2023,H2,UY,255,0.5764705882352941,0.5151298379645244,0.6355415428014766
2023,H2,UZ,199,0.5778894472361809,0.5084302405715585,0.6443984768919807
2023,H2,VA,6,0.6666666666666666,0.299993315138392,0.9032285888942195
2023,H2,VC,1,0.0,0.0,0.7934506856227626
2023,H2,VE,98,0.5714285714285714,0.4725843630037067,0.664884209836053
2023,H2,VG,1,1.0,0.20654931437723745,1.0
2023,H2,VI,17,0.6470588235294118,0.41300363485218694,0.8269027960275627
2023,H2,VN,1275,0.6345098039215686,0.6077091759315733,0.660502335068628
2023,H2,VU,4,0.75,0.30064184258240184,0.9544127391902995
2023,H2,WS,11,0.6363636363636364,0.35380117450784887,0.8483352890463243
2023,H2,XK,42,0.7619047619047619,0.6147245613168169,0.8651903577535287
2023,H2,YE,160,0.69375,0.6184822211553903,0.7599323782156514
2023,H2,ZA,3899,0.6283662477558348,0.6130785907933033,0.6434012100291641
2023,H2,ZM,184,0.5706521739130435,0.4984073094691672,0.6400072884754673
2023,H2,ZW,144,0.6458333333333334,0.5648581439841516,0.7192299618491294
2024,H1,AD,6,0.5,0.18761630648265054,0.8123836935173494
2024,H1,AE,2164,0.7005545286506469,0.6809155494952093,0.7194827344605705
2024,H1,AF,78,0.717948717948718,0.6096907122939889,0.8057466527032598
2024,H1,AG,35,0.6,0.435727090128925,0.7444927114061941
2024,H1,AL,84,0.6309523809523809,0.5241523990768391,0.7262988149097975
2024,H1,AM,204,0.5833333333333334,0.5147507344801463,0.6488354922184065
2024,H1,AO,14,0.42857142857142855,0.21380798904474121,0.6740935542034926
2024,H1,AR,1910,0.543979057591623,0.5215765483377585,0.5662050174892882
2024,H1,AS,2,0.5,0.09453120573423074,0.9054687942657693
2024,H1,AT,6409,0.5994694960212201,0.5874168640168632,0.6114029583952861
2024,H1,AU,22568,0.6413948954271534,0.6351142259278979,0.6476274374690874
2024,H1,AW,6,0.6666666666666666,0.299993315138392,0.9032285888942195
2024,H1,AZ,197,0.5482233502538071,0.47846730016313294,0.6161346814773345
2024,H1,BA,176,0.5965909090909091,0.5227988190955875,0.6662565868322456
2024,H1,BB,31,0.7096774193548387,0.5340767066925007,0.8390419984369939
2024,H1,BD,1579,0.7061431285623813,0.6831961798168722,0.7280894839318091
2024,H1,BE,7599,0.5916567969469667,0.5805617769107368,0.6026591948200183
2024,H1,BF,129,0.5813953488372093,0.4951168604339685,0.6629663177125863
2024,H1,BG,757,0.570673712021136,0.5351437521349479,0.605490014281843
2024,H1,BH,163,0.6134969325153374,0.5369486869892928,0.6848187337796914
2024,H1,BI,34,0.5882352941176471,0.4222159387881251,0.7363403163612885
2024,H1,BJ,118,0.5932203389830508,0.5030073159832378,0.6775551970803648
2024,H1,BM,16,0.5625,0.331785563988119,0.7690134759450765
2024,H1,BN,101,0.6435643564356436,0.5464746477081652,0.7301334835235593
2024,H1,BO,94,0.6170212765957447,0.5159955881639535,0.7088579684486636
2024,H1,BR,8274,0.5716702924824753,0.5609771221706179,0.5822969434055263
2024,H1,BS,13,0.9230769230769231,0.6668604907890041,0.9862895787574435
2024,H1,BT,16,0.5,0.27999563610326017,0.7200043638967398
2024,H1,BW,102,0.5980392156862745,0.5010067361944007,0.6879551339729594
2024,H1,BY,184,0.45652173913043476,0.38617350009861706,0.5286482857816078
2024,H1,BZ,6,0.5,0.18761630648265054,0.8123836935173494
2024,H1,CA,22527,0.5979491277134106,0.5915301649752901,0.604334690230654
2024,H1,CD,124,0.5,0.41332731782637955,0.5866726821736205
2024,H1,CF,26,0.6923076923076923,0.5001174167780164,0.8349868440453624
2024,H1,CG,68,0.6617647058823529,0.543372393866649,0.7628574678474458
